구군,급여종류,장기요양기관,설립연도,연면적(제곱미터),전화번호,주소,위도,경도
남구,노인요양시설,령강노인종합복지센터,2008,518,051-624-9351,부산광역시 남구 천제등로  56-4 (대연동),35.1313324,129.0894835
남구,노인요양시설,해피실버타운,2012,2000,051-621-5003,부산광역시 남구 동명로101번길  37-7 (용호동),35.12158889,129.107302
남구,노인요양공동생활가정,참사랑실버홈,2017,271,051-807-6700,부산광역시 남구 고동골로59번길  48-12 (문현동),35.14178395,129.0687729
북구,노인요양시설,동진노인복지센터,2008,767,051-336-5300,부산광역시 북구 덕천로  101-7 (덕천동),35.20999192,129.0154558
북구,노인요양시설,정화노인요양원,2003,2828,051-332-6810,부산광역시 북구 양달로  55 (화명동),35.24394979,129.0194285
북구,노인요양시설,무지개언덕노인전문요양센터,2007,2511,051-338-5788,부산광역시 북구 시랑로114번길  45 (구포동),35.19427427,129.0086824
북구,노인요양시설,청록만덕실버센터,2008,1029,051-337-0660,부산광역시 북구 중리로  32 (만덕동),35.21235483,129.0407466
북구,노인요양시설,로뎀노인요양원,2009,1963,051-338-9112,부산광역시 북구 의성로  130 (덕천동),35.20903612,129.0111935
북구,노인요양시설,만덕노인요양원,2011,975,051-337-1273,부산광역시 북구 상학산복길  145 (만덕동),35.21775379,129.0376413
북구,노인요양시설,연우어르신의 집,2013,1454,051-337-5200,부산광역시 북구 덕천로381번길  17-27 (만덕동),35.21094604,129.0441883
북구,노인요양시설,해뜨락요양원,2015,1001,051-341-1201,부산광역시 북구 덕천로381번길  14 (만덕동),35.21066673,129.0452171
북구,노인요양공동생활가정,편안한노인공동요양원,2019,2279,051-334-5711,부산광역시 북구 만덕대로127번길  4 (덕천동),35.21345194,129.0188269
북구,노인요양시설,하나노인요양원,2021,1892.31,051-853-2580,부산광역시 북구 백양대로 1131(구포동),35.204758,129.001948
북구,노인요양시설,금곡중앙요양원,2023,1180.33,051-364-5838,부산광역시 북구 금곡대로616번길  12 (금곡동),35.263808,129.016022
북구,노인요양시설,라온요양원,2008,1508.9,051-362-5508,부산광역시 북구 금곡대로550번길  22 (금곡동),35.256468,129.013074
북구,노인요양공동생활가정,화명은혜공동생활가정,2023,215.16,051-711-3859," 부산광역시 북구 금곡대로285번길  16 7층 (화명동, 메인프라자)",35.234262,129.012637
해운대구,노인요양시설,세림어르신의집,2010,912,051-543-5470,부산광역시 해운대구 운봉길186번길  18 (반송동),35.23622386,129.1434667
해운대구,노인요양시설,은화노인요양원,2004,844,051-545-2995," 부산광역시 해운대구 반송로  832 (반송동, 지하2층, 지상5층)",35.22775285,129.1470716
해운대구,노인요양시설,안심노인요양시설,2008,1081,051-543-3001,부산광역시 해운대구 아랫반송로89번길  8 (반송동),35.22050087,129.1532743
해운대구,노인요양시설,영화소규모요양시설,2007,489,051-782-1183,부산광역시 해운대구 재송2로90번길  25 (재송동),35.19170292,129.1341014
해운대구,노인요양시설,해운대실버홈,2013,1990,051-702-3343," 부산광역시 해운대구 송정1로7번길  30-5 (송정동, 해운대실버홈)",35.18108323,129.1978395
해운대구,노인요양시설,다인실버홈,2009,793,051-781-6862,부산광역시 해운대구 재반로84번길  88 (재송동),35.18800408,129.1296251
해운대구,노인요양공동생활가정,사랑방요양원,2018,208,051-742-2533,부산광역시 해운대구 송정중앙로  25 4층 (송정동),35.18282059,129.2035192
해운대구,노인요양공동생활가정,송정요양원,2019,686,051-704-7076,부산광역시 해운대구 송정광어골로  45 4층502호 (송정동),35.17721505,129.1970581
해운대구,노인요양공동생활가정,정다운 요양원,2019,274,051-747-8895,부산광역시 해운대구 좌동로10번길  67 4층 (중동),35.16773938,129.1724293
해운대구,노인요양시설,신세계해운대요양원,2023,991.41,051-987-1004,부산광역시 해운대구 양운로  98 13층 (좌동),35.171684,129.174842
사하구,노인요양시설,인창실버웰,2007,2747,051-202-1166,부산광역시 사하구 다대로83번길  132 (괴정동),35.0937992,128.9841032
사하구,노인요양시설,평화노인요양원,2001,4901,051-204-0008,부산광역시 사하구 승학로233번길  49 (괴정동),35.10423738,128.9896474
사하구,노인요양시설,환희노인요양원,2013,3794,051-203-9461," 부산광역시 사하구 제석로95번길  35 (당리동, 환희노인요양원)",35.10986812,128.9767058
사하구,노인요양시설,아들요양원,2011,851,051-202-2727,부산광역시 사하구 천해로  131 (감천동),35.08830952,129.0082185
사하구,노인요양시설,해피빌요양원,2004,2126,051-201-3471,부산광역시 사하구 다대로83번길  111 (괴정동),35.09359786,128.983366
사하구,노인요양시설,안심노인건강센터 사하점,2011,491,051-292-3311,부산광역시 사하구 다대낙조2길  3 (다대동),35.0503898,128.9658567
사하구,노인요양시설,늘푸른노인전문요양센터,2010,1088,051-201-2110," 부산광역시 사하구 낙동대로216번길  3 (괴정동, 신화타워프라자 2층)",35.10051666,128.9926954
사하구,노인요양시설,수 실버원,2020,1464,051-928-3900,부산광역시 사하구 장평로  117 (장림동),35.07660279,128.9726353
사하구,노인요양시설,참사랑요양원,2019,741,051-266-3107," 부산광역시 사하구 다대로  235 5, 6층 (장림동)",35.08123157,128.9776688
사하구,노인요양시설,한우리요양원,2019,1113,051-208-7500,부산광역시 사하구 원양로  400 (감천동),35.08628423,129.0057042
사하구,노인요양공동생활가정,성산간호실버홈,2021,211.6,051-291-9911," 부산광역시 사하구 낙동대로216번길  3 3층 (괴정동, 신화프라자)",35.10073647,128.9927348
사하구,노인요양시설,동산노인요양원,2022,489.02,051-204-1133,부산광역시 사하구 낙동대로216번길 10(괴정동),35.100763,128.993175
사하구,노인요양시설,한울타리사하요양원,2023,527,051-262-8120,부산광역시 사하구 다대로385번안길 5(다대동),35.068374,128.979128
금정구,노인요양시설,신망애노인요양원,1940,4105,051-582-1664,부산광역시 금정구 금샘로  66 (장전동),35.23156397,129.076696
금정구,노인요양시설,신망애치매전문요양원,2002,5169,051-516-7881,부산광역시 금정구 금샘로  66 (장전동),35.23156397,129.076696
금정구,노인요양시설,애광노인요양원,1986,437,051-582-0756,부산광역시 금정구 금샘로17번안길  45 (장전동),35.22920006,129.074929
금정구,노인요양시설,애광노인치매전문요양원,1998,6259,051-514-7737,부산광역시 금정구 금샘로17번안길  45 (장전동),35.22920006,129.074929
금정구,노인요양시설,금정노인요양원,2006,1988,051-508-8822,부산광역시 금정구 청룡예전로43번길  25 (청룡동),35.27773027,129.089014
금정구,노인요양시설,남광노인전문요양시설 하회원,2008,388,051-508-2894,부산광역시 금정구 중앙대로2349번길  3 (노포동),35.29339563,129.1000092
금정구,노인요양시설,동래노인요양원,1998,1742,051-518-8275,부산광역시 금정구 산성로  967 (장전동),35.23192654,129.0764701
금정구,노인요양시설,안평노인건강센터,2008,3680,051-518-6838,부산광역시 금정구 금샘로  39-7 (장전동),35.22900807,129.0762447
강서구,노인요양시설,을숙도노인요양원,2010,2662,051-205-3888,부산광역시 강서구 낙동남로991번길  54-1 (명지동),35.11577238,128.9238884
강서구,노인요양시설,정다운 어르신의 집,2012,977,051-973-9201,부산광역시 강서구 낙동남로483번가길  21 (녹산동),35.11352315,128.8685299
강서구,노인요양시설,참사랑노인건강센터,2009,3322,051-972-1611,부산광역시 강서구 상덕로119번길  28-11 (강동동),35.19283822,128.9173604
강서구,노인요양시설,행복한실버홈 요양원,2019,301,051-206-0900," 부산광역시 강서구 명지국제2로28번길  34 9층901호 (명지동, 에코팰리스)",35.09284604,128.9088564
연제구,노인요양시설,호산노인건강센터,2003,2996,051-502-3979,부산광역시 연제구 화지로  103 (거제동),35.18369456,129.0661711
연제구,노인요양시설,연화원 소규모요양시설(가형),2008,574,051-868-0588,부산광역시 연제구 중앙대로1066번길  35 (연산동),35.18230769,129.0812602
연제구,노인요양시설,큰별요양원,2016,804,051-710-0708,부산광역시 연제구 과정로132번길  66-1 (연산동),35.18279536,129.1109982
연제구,노인요양공동생활가정,녹원요양원 미루나무집,2009,386,051-862-3200," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 3층)",35.17974113,129.0900311
연제구,노인요양공동생활가정,녹원요양원 정금나무집,2009,378,051-862-3200," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 2층)",35.17974113,129.0900311
연제구,노인요양공동생활가정,녹원요양원 함박꽃나무집,2009,373,051-862-3200," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 1층)",35.17974113,129.0900311
연제구,노인요양공동생활가정,시연실버홈,2021,186.42,051-865-9988,부산광역시 연제구 과정로276번길  22-1 (연산동),35.18915689,129.0977879
수영구,노인요양시설,성분도어버이집,1997,305,051-752-2982,부산광역시 수영구 수영로497번길  18 (광안동),35.15111417,129.1107205
수영구,노인요양공동생활가정,고향의 집,2002,197,051-752-8393,부산광역시 수영구 망미제1동   461번지 5호,35.17708282,129.1038613
수영구,노인요양시설,흰돌요양센터(목제관),2001,1492,051-751-0561,부산광역시 수영구 연수로260번길  53-1 (망미동),35.17008274,129.0994963
수영구,노인요양시설,상락정배산실버빌,2005,2020,051-756-0569,부산광역시 수영구 망미제1동   880번지 94호,35.17623417,129.1000513
수영구,노인요양시설,은애너싱홈,2003,401,051-759-1228,부산광역시 수영구 광안제1동   499번지 8호,35.16444665,129.1106165
수영구,노인요양시설,수영효도요양원,2022,2230.85,051-760-8000,"부산광역시 수영구 과정로 49(망미동, 수영효도요양원)",35.175744,129.107203
사상구,노인요양시설,부산광역시 노인건강센터,1998,3852,051-310-7500," 부산광역시 사상구 학감대로39번길  129 (학장동, 부산노인건강센터)",35.13120626,128.996382
사상구,노인요양시설,노인요양시설 보성실버센터,2012,558,051-311-3150," 부산광역시 사상구 가야대로318번길  78 1층 (주례동, 보성실버센터)",35.14704919,129.0077144
사상구,노인요양시설,보성실버홈,2009,384,051-311-3122," 부산광역시 사상구 가야대로330번길  58-4 (주례동, 보성실버홈)",35.1482294,129.0088703
사상구,노인요양시설,(복지) 그리스도구원선 윤금노인요양원,2013,2006,051-312-0675," 부산광역시 사상구 가야대로  187 (주례동, 윤금노인요양원)",35.15016365,128.9929806
사상구,노인요양시설,서부산노인요양원,2012,1252,051-325-9998,부산광역시 사상구 운산로  112 (괘법동),35.16674546,128.9879574
사상구,노인요양시설,참조은실버요양원,2009,2766,051-316-1512,부산광역시 사상구 백양대로572번길  17-8 (감전동),35.15803909,128.9911228
사상구,노인요양시설,정향행복한마을,2009,2392,051-303-1258," 부산광역시 사상구 백양대로  687-23 (덕포동, 외 2필지)",35.16763596,128.9881877
사상구,노인요양시설,정향효마을,2008,575,051-322-1250,부산광역시 사상구 엄궁북로4번길 39 (엄궁동),35.12750189,128.9719463
사상구,노인요양공동생활가정,사상실버웰요양홈,2022,215.36,051-301-2006,"부산광역시 사상구 삼덕로 71, 1층(덕포동, 아가페타운)",35.17406,128.98471
기장군,노인요양시설,기장실버홈,2004,3969,051-728-7011,부산광역시 기장군 정관읍 곰내길  574 (정관읍),35.31518227,129.1699594
기장군,노인요양시설,효성노인건강센터,2006,3006,051-727-5080,부산광역시 기장군 장안읍 기룡리  69-1,35.35898651,129.2614089
기장군,노인요양시설,효성제일노인건강센터,2011,2543,051-714-3747,부산광역시 기장군 장안읍 오리길  109 (장안읍),35.36665765,129.2733574
기장군,노인요양시설,선양시니어빌리지,2011,2876,051-711-0102,부산광역시 기장군 장안읍 천산로  63 (장안읍),35.33516414,129.2836311
기장군,노인요양시설,송암노인요양원,2010,711,051-723-0315,부산광역시 기장군 기장읍 배산로56번길  26-16 (기장읍),35.24954472,129.2102634
기장군,노인요양공동생활가정,수연어르신의집,2016,262,051-508-3206,부산광역시 기장군 철마면 입석길  68 (철마면),35.3122241,129.1168253
기장군,노인요양시설,한마음노인건강센터,2012,2157,051-722-5544,부산광역시 기장군 기장읍 차성남로  91-2 (기장읍),35.2413955,129.2184263
기장군,노인요양시설,기장실버타운,2012,2952,051-723-8899,부산광역시 기장군 기장읍 죽성로  227 (기장읍),35.24536227,129.2413835
기장군,노인요양시설,기장노인의료센터,2009,2403,051-722-6500,부산광역시 기장군 일광면 화전2길  86-25 (일광면),35.2871266,129.2277195
기장군,노인요양시설,다인요양원,2016,1463,051-723-6636,부산광역시 기장군 장안읍 오리길  376-28 (장안읍),35.34448035,129.2771782
기장군,노인요양시설,백양원,2015,685,051-727-3990,부산광역시 기장군 일광면 칠암3길  14 (일광면),35.2972689,129.2573159
기장군,노인요양시설,행복한어르신의집 노인요양원,2012,957,051-728-9007," 부산광역시 기장군 장안읍 기장대로  1727 (장안읍, 행복한어르신의집)",35.34389738,129.2510753
기장군,노인요양시설,주사랑재활요양원,2018,919,051-724-8181,부산광역시 기장군 기장읍 연화길  62 (기장읍),35.21909726,129.2262975
기장군,노인요양공동생활가정,해피케어 노인요양공동생활가정,2018,194,051-508-2201,부산광역시 기장군 철마면 강변길  20 (철마면),35.30750031,129.11201
기장군,노인요양시설,효산요양원,2019,1460,051-508-0675,부산광역시 기장군 철마면 철마삼동로  103 (철마면),35.3138049,129.1145047
기장군,노인요양시설,온누리요양원,2014,2124,051-714-0120,부산광역시 기장군 장안읍 못안길  47 (장안읍),35.3794864,129.2602205
기장군,노인요양공동생활가정,해강노인요양공동생활가정원,2021,196.08,051-714-7454,"부산광역시 기장군 정관읍 용수1길 16-10, 1,2층(정관읍)",35.329257,129.174588
기장군,노인요양시설,해빛실버타운요양원,2023,1898.16,051-723-8006,부산광역시 기장군 기장읍 내리길 168(기장읍),35.21706,129.197861
기장군,노인요양시설,정관스마트요양원,2023,1901,051-921-0777," 부산광역시 기장군 정관읍 구연3로  11 3,4,6층 (정관읍, 서울프라자)",35.321063,129.181196
기장군,노인요양공동생활가정,정관자연노인요양공동생활가정,2023,476.15,,부산광역시 기장군 정관읍 용수1길  16-4 1층 (정관읍),35.329331,129.174531
